date,hour,Load_kWh,PV_kWh,P1 (PV_GR),P2 (PV_LD),P3 (GR_LD),P4 (PV_BAT),P5 (BAT_LD),P6 (FC_BAT),P7 (BAT_EL),P8 (EL_FT),P9 (FT_FC),P10 (FC_WT),P11 (WT_EL)
15/05/2017,0,1.88,0,0.228111336,0,1.309721661,0,0.570278339,0,3.88E-26,0.045081584,0,0.039343928,0
15/05/2017,1,1.14,0,0.148695652,0,0.76826087,0,0.37173913,0,3.67E-14,7.78E-07,0,5.92E-07,0
15/05/2017,2,1.22,0,0.159130435,0,0.822173913,0,0.397826087,0,3.24E-14,7.59E-07,0,5.83E-07,0
15/05/2017,3,1.06,0,0.13826087,0,0.714347826,0,0.345652174,0,9.86E-14,1.29E-06,0,9.96E-07,0
15/05/2017,4,0.97,0,0.126521739,0,0.653695652,0,0.316304348,0,9.83E-14,1.14E-06,0,8.86E-07,0
15/05/2017,5,1.02,0,0.133043478,0,0.687391304,0,0.332608696,0,2.23E-14,5.86E-07,0,4.56E-07,0
15/05/2017,6,1.07,0,0.139565217,0,0.721086957,0,0.348913043,0,7.70E-14,1.16E-06,0,8.89E-07,0
15/05/2017,7,1.06,0,0.13826087,0,0.714347826,0,0.345652174,0,9.86E-14,1.29E-06,0,9.96E-07,0
15/05/2017,8,1.01,0.152678,0.111824609,0.152678,0.577760478,0,0.279561522,0,2.18E-14,5.29E-07,0,4.06E-07,0
15/05/2017,9,1.21,1.00908,0.031152797,0.971161893,0.160956116,0,0.077881991,0,2.92E-13,1.06E-06,0,7.95E-07,0
15/05/2017,10,0.6,0.34395,0.033397826,0.34395,0.172555435,0,0.083494565,0,9.13E-14,6.12E-07,0,4.71E-07,0
15/05/2017,11,0.42,0.344316,0.011470879,0.332056595,0.059266208,0,0.028677197,0,3.41E-13,7.10E-07,0,5.49E-07,0
15/05/2017,12,0.55,1.288437,0.255033321,0.55,3.76E-14,0.637583304,0,4.24E-14,0,0,4.94E-07,0,5.92E-07
15/05/2017,13,3.3,0.111511,0.325618764,0.111511,2.374442089,0,0.814046911,0,3.22E-19,0.237901976,0,0.207623542,0
15/05/2017,14,0.4,0.089999,0.040434913,0.089999,0.208913717,0,0.101087283,0,6.33E-14,5.75E-07,0,4.44E-07,0
15/05/2017,15,1.87,0.52317,0.175673478,0.52317,0.907646304,0,0.439183696,0,7.42E-14,1.29E-06,0,1.01E-06,0
15/05/2017,16,0.99,0,0.129130435,0,0.667173913,0,0.322826087,0,9.41E-14,1.15E-06,0,8.90E-07,0
15/05/2017,17,3.81,0,0.371933207,0,2.880166982,0,0.929833018,0,1.95E-27,0.329488526,0,0.287553623,0
15/05/2017,18,2.38,0,0.265370888,0,1.71657278,0,0.66342722,0,4.35E-16,0.118762139,0,0.103646958,0
15/05/2017,19,2.43,0,0.269096843,0,1.757257892,0,0.672742108,0,1.43E-16,0.126130195,0,0.110077261,0
15/05/2017,20,1.4,0,0.182608696,0,0.943478261,0,0.456521739,0,2.44E-14,7.34E-07,0,5.62E-07,0
15/05/2017,21,1.88,0,0.228111336,0,1.309721661,0,0.570278339,0,3.88E-26,0.045081584,0,0.039343928,0
15/05/2017,22,2.24,0,0.254938213,0,1.602654467,0,0.637345533,0,2.47E-25,0.098131584,0,0.085642109,0
15/05/2017,23,2.26,0,0.256428595,0,1.618928511,0,0.641071489,0,2.76E-26,0.101078806,0,0.088214231,0
16/05/2017,0,0.98,0,0.127826087,0,0.660434783,0,0.319565217,0,9.62E-14,1.15E-06,0,8.88E-07,0
16/05/2017,1,1.03,0,0.134347826,0,0.694130435,0,0.335869565,0,1.13E-13,1.35E-06,0,1.05E-06,0
16/05/2017,2,0.99,0,0.129130435,0,0.667173913,0,0.322826087,0,9.41E-14,1.15E-06,0,8.90E-07,0
16/05/2017,3,0.91,0,0.118695652,0,0.61326087,0,0.29673913,0,3.64E-14,6.61E-07,0,5.05E-07,0
16/05/2017,4,0.94,0,0.122608696,0,0.633478261,0,0.306521739,0,3.24E-14,6.36E-07,0,4.87E-07,0
16/05/2017,5,1.02,0,0.133043478,0,0.687391304,0,0.332608696,0,2.23E-14,5.86E-07,0,4.56E-07,0
16/05/2017,6,1.24,0,0.16173913,0,0.835652174,0,0.404347826,0,2.88E-14,7.23E-07,0,5.53E-07,0
16/05/2017,7,3.29,0,0.333183273,0,2.457041817,0,0.832958183,0,1.22E-19,0.252860749,0,0.220678472,0
16/05/2017,8,2.62,0.44952,0.249757645,0.44952,1.546085887,0,0.624394113,0,6.80E-16,0.087887039,0,0.076701416,0
16/05/2017,9,2.86,1.408163,0.189370043,1.408163,0.978411891,0,0.473425109,0,4.55E-14,1.05E-06,0,8.05E-07,0
16/05/2017,10,1.84,2.012219,0.214862754,1.475062115,0.364937885,0.537156885,0,3.21E-14,0,0,7.10E-07,0,6.16E-07
16/05/2017,11,2.09,2.238357,0.234758754,1.651460115,0.438539885,0.586896885,0,1.05E-14,0,0,4.09E-07,0,3.66E-07
16/05/2017,12,2.34,2.294772,0.022262471,2.169321057,0.115022766,0,0.055656177,0,2.17E-13,7.85E-07,0,6.07E-07,0
16/05/2017,13,1.31,2.117918,0.301795071,1.31,5.92E-14,0.754487679,0,1.83E-14,0,0,4.38E-07,0,4.93E-07
16/05/2017,14,0.27,1.643329,0.45010575,0.27,3.88E-15,1.125264375,0,6.64E-15,0,0,5.41E-07,0,4.49E-07
16/05/2017,15,0.24,0.856385,0.205838036,0.24,9.29E-15,0.514595089,0,1.39E-14,0,0,4.30E-07,0,3.90E-07
16/05/2017,16,0.42,0,0.054782609,0,0.283043478,0,0.136956522,0,3.20E-13,1.40E-06,0,1.09E-06,0
16/05/2017,17,0.31,0,0.040434783,0,0.208913043,0,0.101086957,0,8.52E-14,5.97E-07,0,4.59E-07,0
16/05/2017,18,0.32,0,0.04173913,0,0.215652174,0,0.104347826,0,7.97E-14,5.84E-07,0,4.49E-07,0
16/05/2017,19,0.73,0,0.095217391,0,0.491956522,0,0.238043478,0,5.13E-14,7.22E-07,0,5.65E-07,0
16/05/2017,20,1.07,0,0.139565217,0,0.721086957,0,0.348913043,0,7.70E-14,1.16E-06,0,8.89E-07,0
